timestamp,type,price,trigger
2025-06-06 02:58:00+08:00,xgboost_bearish,103039.93,XGBoost DOWN (Confidence: 65.47%)
2025-06-06 03:03:00+08:00,xgboost_bearish,102944.12,XGBoost DOWN (Confidence: 75.00%)
2025-06-06 03:08:00+08:00,xgboost_bullish,102914.85,XGBoost UP (Confidence: 82.62%)
2025-06-06 03:13:00+08:00,xgboost_bearish,102715.55,XGBoost DOWN (Confidence: 69.56%)
2025-06-06 03:18:00+08:00,xgboost_bearish,101779.14,XGBoost DOWN (Confidence: 71.03%)
2025-06-06 03:20:00+08:00,xgboost_bullish,101881.99,XGBoost UP (Confidence: 52.00%)
2025-06-06 03:25:00+08:00,xgboost_bullish,101978.22,XGBoost UP (Confidence: 68.72%)
2025-06-06 03:30:00+08:00,xgboost_bullish,102205.22,XGBoost UP (Confidence: 52.62%)
2025-06-06 03:35:00+08:00,xgboost_bearish,102354.45,XGBoost DOWN (Confidence: 71.63%)
2025-06-06 03:40:00+08:00,xgboost_bearish,102354.96,XGBoost DOWN (Confidence: 60.72%)
2025-06-06 03:45:00+08:00,xgboost_bearish,102161.61,XGBoost DOWN (Confidence: 63.50%)
2025-06-06 03:50:00+08:00,xgboost_bearish,101950.0,XGBoost DOWN (Confidence: 76.54%)
2025-06-06 03:55:00+08:00,xgboost_bullish,102034.17,XGBoost UP (Confidence: 65.47%)
2025-06-06 04:00:00+08:00,xgboost_bearish,101903.77,XGBoost DOWN (Confidence: 53.76%)
2025-06-06 04:05:00+08:00,xgboost_bearish,102039.3,XGBoost DOWN (Confidence: 64.83%)
2025-06-06 04:10:00+08:00,xgboost_bearish,101699.99,XGBoost DOWN (Confidence: 66.12%)
2025-06-06 04:15:00+08:00,xgboost_bearish,101465.2,XGBoost DOWN (Confidence: 67.32%)
2025-06-06 04:20:00+08:00,xgboost_bearish,101178.34,XGBoost DOWN (Confidence: 63.23%)
2025-06-06 04:25:00+08:00,xgboost_bearish,101320.02,XGBoost DOWN (Confidence: 63.51%)
2025-06-06 04:30:00+08:00,xgboost_bearish,101414.76,XGBoost DOWN (Confidence: 71.00%)
2025-06-06 04:35:00+08:00,xgboost_bearish,101129.51,XGBoost DOWN (Confidence: 67.99%)
2025-06-06 04:40:00+08:00,xgboost_bearish,101189.03,XGBoost DOWN (Confidence: 59.41%)
2025-06-06 04:45:00+08:00,xgboost_bullish,101065.59,XGBoost UP (Confidence: 67.87%)
2025-06-06 04:51:00+08:00,xgboost_bearish,100865.63,XGBoost DOWN (Confidence: 58.45%)
2025-06-06 04:56:00+08:00,xgboost_bullish,100657.19,XGBoost UP (Confidence: 66.38%)
2025-06-06 05:01:00+08:00,xgboost_bearish,100440.0,XGBoost DOWN (Confidence: 56.87%)
2025-06-06 05:06:00+08:00,xgboost_bullish,101097.48,XGBoost UP (Confidence: 56.01%)
2025-06-06 05:11:00+08:00,xgboost_bearish,100779.3,XGBoost DOWN (Confidence: 74.05%)
2025-06-06 05:16:00+08:00,xgboost_bullish,100765.72,XGBoost UP (Confidence: 71.57%)
2025-06-06 05:21:00+08:00,xgboost_bearish,100797.98,XGBoost DOWN (Confidence: 53.53%)
2025-06-06 05:26:00+08:00,xgboost_bearish,101005.72,XGBoost DOWN (Confidence: 73.73%)
2025-06-06 05:31:00+08:00,xgboost_bullish,101138.89,XGBoost UP (Confidence: 74.00%)
